Taxable Year,Zip Code,State,City,County,Returns,CA AGI,Total Tax Liability,CountyLatitude,CountyLongitude,Geo County,Geo City,Geo ZipCode
2017,90042,CA,Los Angeles,Los Angeles,27754,1440188263,47655621,34.0594833,-118.242048,POINT (-118.24204800000001 34.0594833),POINT (-118.243344 34.052238),POINT (-118.19196700000002 34.115224)
2017,90022,CA,Los Angeles,Los Angeles,27927,970930492,19425218,34.0594833,-118.242048,POINT (-118.24204800000001 34.0594833),POINT (-118.243344 34.052238),POINT (-118.15575500000001 34.024487)
2017,90046,CA,Los Angeles,Los Angeles,28207,2628824958,176032353,34.0594833,-118.242048,POINT (-118.24204800000001 34.0594833),POINT (-118.243344 34.052238),POINT (-118.364441 34.105325)
2017,90004,CA,Los Angeles,Los Angeles,28226,2002117408,122014451,34.0594833,-118.242048,POINT (-118.24204800000001 34.0594833),POINT (-118.243344 34.052238),POINT (-118.30945299999999 34.07646)
2017,90066,CA,Los Angeles,Los Angeles,29212,2838090659,169259668,34.0594833,-118.242048,POINT (-118.24204800000001 34.0594833),POINT (-118.243344 34.052238),POINT (-118.43121799999999 34.002048)
2017,90019,CA,Los Angeles,Los Angeles,29746,1589096118,63500867,34.0594833,-118.242048,POINT (-118.24204800000001 34.0594833),POINT (-118.243344 34.052238),POINT (-118.340015 34.048752)
2017,90034,CA,Los Angeles,Los Angeles,31904,2318470101,116492948,34.0594833,-118.242048,POINT (-118.24204800000001 34.0594833),POINT (-118.243344 34.052238),POINT (-118.39973699999999 34.030429)
2017,90026,CA,Los Angeles,Los Angeles,31943,1769286668,76874434,34.0594833,-118.242048,POINT (-118.24204800000001 34.0594833),POINT (-118.243344 34.052238),POINT (-118.264087 34.078894)
2017,90044,CA,Los Angeles,Los Angeles,36772,1102254459,12556496,34.0594833,-118.242048,POINT (-118.24204800000001 34.0594833),POINT (-118.243344 34.052238),POINT (-118.29178100000001 33.952658)
2017,90011,CA,Los Angeles,Los Angeles,38557,1058705179,9376331,34.0594833,-118.242048,POINT (-118.24204800000001 34.0594833),POINT (-118.243344 34.052238),POINT (-118.258872 34.007055)
2016,90079,CA,Los Angeles,Los Angeles,34,1825538,80805,34.0594833,-118.242048,POINT (-118.24204800000001 34.0594833),POINT (-118.243344 34.052238),POINT (-118.25540300000002 34.040531)
2016,90095,CA,Los Angeles,Los Angeles,39,7276506,539647,34.0594833,-118.242048,POINT (-118.24204800000001 34.0594833),POINT (-118.243344 34.052238),POINT (-118.442809 34.070475)
2016,90072,CA,Los Angeles,Los Angeles,42,1363243,40583,34.0594833,-118.242048,POINT (-118.24204800000001 34.0594833),POINT (-118.243344 34.052238),POINT (-118.24368499999999 34.052234)
2016,90055,CA,Los Angeles,Los Angeles,50,23041235,2223153,34.0594833,-118.242048,POINT (-118.24204800000001 34.0594833),POINT (-118.243344 34.052238),POINT (-118.243344 34.052238)
2016,90070,CA,Los Angeles,Los Angeles,50,2057652,41697,34.0594833,-118.242048,POINT (-118.24204800000001 34.0594833),POINT (-118.243344 34.052238),POINT (-118.243344 34.052238)
2016,90074,CA,Los Angeles,Los Angeles,54,7137812,620549,34.0594833,-118.242048,POINT (-118.24204800000001 34.0594833),POINT (-118.243344 34.052238),POINT (-118.243344 34.052238)
2016,90073,CA,Los Angeles,Los Angeles,63,2534177,105747,34.0594833,-118.242048,POINT (-118.24204800000001 34.0594833),POINT (-118.243344 34.052238),POINT (-118.45164600000001 34.059249)
2016,90082,CA,Los Angeles,Los Angeles,71,2452562,37049,34.0594833,-118.242048,POINT (-118.24204800000001 34.0594833),POINT (-118.243344 34.052238),POINT (-118.243344 34.052238)
2016,90087,CA,Los Angeles,Los Angeles,71,3200655,64632,34.0594833,-118.242048,POINT (-118.24204800000001 34.0594833),POINT (-118.243344 34.052238),POINT (-118.243344 34.052238)
2016,90091,CA,Los Angeles,Los Angeles,73,3856145,103116,34.0594833,-118.242048,POINT (-118.24204800000001 34.0594833),POINT (-118.243344 34.052238),POINT (-118.15 33.99)
